neighborhood,img_name,pixel_count,pixel_proportion
Brookline A,IMG_4375_Edited.PNG,13237,0.65714
Brookline A,IMG_4377_Edited.PNG,0,0.0
Brookline A,IMG_4378_Edited.PNG,8890,0.44134
Brookline A,IMG_4381_Edited.PNG,3678,0.18259
Brookline A,IMG_4382_Edited.PNG,37474,1.86037
Brookline A,IMG_4386_Edited.PNG,8293,0.4117
Brookline A,IMG_4388_Edited.PNG,14783,0.73389
Brookline A,IMG_4389_Edited.PNG,15102,0.74973
Brookline A,IMG_4390_Edited.PNG,107785,5.35091
Brookline A,IMG_4391_Edited.PNG,3202,0.15896
Brookline A,IMG_4392_Edited.PNG,10902,0.54122
Brookline A,IMG_4393_Edited.PNG,43964,2.18256
Brookline A,IMG_4394_Edited.PNG,23570,1.17012
Brookline A,IMG_4395_Edited.PNG,294,0.0146
Brookline A,IMG_4396_Edited.PNG,4303,0.21362
Brookline A,IMG_4397_Edited.PNG,4771,0.23685
Brookline A,IMG_4398_Edited.PNG,13152,0.65292
Brookline A,IMG_4399_Edited.PNG,11282,0.56009
Brookline A,IMG_4401_Edited.PNG,26558,1.31845
Brookline A,IMG_4402_Edited.PNG,52761,2.61928
Brookline A,IMG_4408_Edited.PNG,16706,0.82936
Brookline A,IMG_4409_Edited.PNG,25582,1.27
Brookline A,IMG_4411_Edited.PNG,68070,3.37929
Brookline A,IMG_4412_Edited.PNG,39746,1.97316
Brookline A,IMG_4415_Edited.PNG,1936,0.09611
Brookline A,IMG_4416_Edited.PNG,33,0.00164
Brookline A,IMG_4417_Edited.PNG,5952,0.29548
Brookline A,IMG_4418_Edited.PNG,24478,1.21519
Brookline A,IMG_4419_Edited.PNG,2946,0.14625
Brookline A,IMG_4420_Edited.PNG,4072,0.20215
Brookline A,IMG_4421_Edited.PNG,3209,0.15931
Brookline A,IMG_4422_Edited.PNG,10749,0.53363
Brookline A,IMG_4425_Edited.PNG,10171,0.50493
Brookline B,IMG_4426_Edited.PNG,1311,0.06508
Brookline B,IMG_4427_Edited.PNG,5937,0.29474
Brookline B,IMG_4428_Edited.PNG,13412,0.66583
Brookline B,IMG_4429_Edited.PNG,21270,1.05593
Brookline B,IMG_4430_Edited.PNG,15089,0.74908
Brookline B,IMG_4431_Edited.PNG,2870,0.14248
Brookline B,IMG_4432_Edited.PNG,6987,0.34686
Brookline B,IMG_4433_Edited.PNG,995,0.0494
Brookline B,IMG_4434_Edited.PNG,795,0.03947
Brookline B,IMG_4435_Edited.PNG,3009,0.14938
Brookline B,IMG_4442_Edited.PNG,4397,0.21829
Brookline B,IMG_4443_Edited.PNG,3182,0.15797
Brookline B,IMG_4444_Edited.PNG,11180,0.55502
Brookline B,IMG_4445_Edited.PNG,8337,0.41388
Brookline B,IMG_4446_Edited.PNG,5240,0.26014
Brookline B,IMG_4447_Edited.PNG,37265,1.84999
Brookline B,IMG_4448_Edited.PNG,36793,1.82656
Brookline B,IMG_4449_Edited.PNG,1740,0.08638
Brookline B,IMG_4450_Edited.PNG,242,0.01201
Brookline B,IMG_4451_Edited.PNG,215,0.01067
Brookline B,IMG_4452_Edited.PNG,7122,0.35357
Brookline B,IMG_4454_Edited.PNG,266,0.01321
Brookline B,IMG_4455_Edited.PNG,322,0.01599
Brookline B,IMG_4456_Edited.PNG,2572,0.12769
Brookline B,IMG_4457_Edited.PNG,1609,0.07988
Brookline B,IMG_4459_Edited.PNG,1789,0.08881
Brookline B,IMG_4460_Edited.PNG,1824,0.09055
